Data,Produto,Vendedor,Quantidade,Valor
2026-02-21,Teclado,Juliana,10,4150
2024-05-04,Headset,Marcelo,8,4164
2026-01-20,Notebook,Camila,2,3608
2025-04-21,Headset,Carlos,10,3987
2025-04-30,Mouse,Patrícia,6,159
2024-03-07,Mouse,Marcelo,10,1425
2025-06-10,Headset,Camila,1,3047
2024-10-02,Notebook,Carlos,1,4385
2024-07-10,Headset,Thiago,6,128
2026-07-02,Teclado,Renata,8,3612
2024-05-01,Teclado,Rodrigo,3,501
2024-09-23,Mouse,Eduardo,2,2110
2025-08-13,Monitor,Lucas,1,345
2026-07-20,Mouse,Rodrigo,6,3367
2026-05-15,Notebook,Pedro,9,2461
2024-01-29,Notebook,Gabriel,9,3711
2025-10-26,Headset,Vanessa,1,1838
2025-07-24,Mouse,Larissa,7,3272
2025-10-05,Notebook,Carlos,2,1705
2025-07-20,Notebook,Eduardo,1,4142
2026-02-06,Mouse,Camila,4,2308
2024-05-04,Notebook,Beatriz,4,66
2024-08-09,Monitor,Carlos,1,4680
2024-08-26,Teclado,Diego,3,3400
2024-10-05,Notebook,Juliana,7,4790
2024-07-15,Monitor,Vinícius,8,4386
2025-12-07,Monitor,Amanda,2,1275
2026-05-03,Teclado,Patrícia,8,405
2024-05-04,Mouse,Vinícius,7,2258
2024-07-08,Mouse,Diego,8,909
2026-03-30,Monitor,Rodrigo,2,4564
2024-11-25,Teclado,Mariana,2,2791
2026-08-16,Notebook,Larissa,4,464
2024-09-09,Teclado,Lucas,7,2942
2024-09-30,Teclado,Diego,4,3106
2025-03-29,Notebook,Beatriz,4,3856
2026-10-06,Monitor,Patrícia,7,123
2025-02-16,Teclado,Thiago,6,3693
2026-03-12,Headset,Rafael,10,3089
2024-10-17,Mouse,Aline,5,4396
2024-02-25,Notebook,Vinícius,9,2962
2025-12-15,Teclado,Fernanda,3,976
2025-10-11,Mouse,Lucas,10,382
2025-03-01,Headset,Lucas,3,557
2026-03-22,Monitor,Pedro,5,702
2024-04-21,Teclado,Fernanda,7,1629
2026-09-12,Teclado,Felipe,2,459
2026-07-09,Teclado,Vanessa,1,1907
2026-09-22,Notebook,Maria,3,4836
2025-08-30,Monitor,Eduardo,2,3355
2026-09-25,Teclado,Felipe,1,4723
2024-09-21,Mouse,Marcelo,7,3449
2026-08-11,Notebook,Camila,9,4190
2026-12-28,Monitor,Pedro,3,2128
2024-11-24,Teclado,Maria,8,4195
2026-01-20,Teclado,Larissa,2,4047
2024-11-29,Teclado,Larissa,9,1640
2025-04-30,Headset,Larissa,3,3816
2025-05-09,Monitor,Ana,5,122
2024-04-16,Mouse,Camila,7,3519
2026-12-20,Monitor,Marcelo,7,2705
